City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
155,Nago,JP,26.5881,127.9761,64.4,72,20,8.05,few clouds
156,Rangkasbitung,ID,-6.3591,106.2494,79.0,83,40,3.44,haze
157,Balclutha,NZ,-46.2339,169.75,69.01,63,16,4.0,few clouds
158,Airai,TL,-8.9266,125.4092,62.73,100,100,0.96,light rain
159,Goose Creek,US,32.981,-80.0326,55.0,100,90,11.5,moderate rain
160,Yumen,CN,40.2833,97.2,7.93,76,67,8.03,broken clouds
161,Paracuru,BR,-3.41,-39.0306,82.0,74,13,18.01,few clouds
162,Hanmer Springs,NZ,-42.5167,172.8167,79.09,39,0,1.1,clear sky
163,Manaus,BR,-3.1019,-60.025,78.8,83,40,2.3,scattered clouds
164,Barabai,ID,-2.5833,115.3833,72.68,93,100,1.21,overcast clouds
165,Gat,IL,31.61,34.7642,53.01,100,0,1.99,clear sky
166,Cape Town,ZA,-33.9258,18.4232,66.0,88,40,9.22,light rain
167,Burla,IN,21.5,83.8667,54.21,42,0,1.07,clear sky
168,Mersing,MY,2.4312,103.8405,77.0,88,100,4.61,overcast clouds
169,Asyut,EG,27.181,31.1837,51.8,71,0,4.61,clear sky
170,Padang,ID,-0.9492,100.3543,75.65,69,75,4.34,broken clouds
171,Brae,GB,60.3964,-1.353,42.8,75,75,23.02,broken clouds
172,Chokurdakh,RU,70.6333,147.9167,-5.22,92,100,10.29,overcast clouds
173,Tuktoyaktuk,CA,69.4541,-133.0374,-16.6,76,75,12.66,broken clouds
174,Champerico,GT,14.3,-91.9167,89.6,58,40,11.5,scattered clouds
175,Bahia Blanca,AR,-38.7196,-62.2724,90.81,14,0,14.63,clear sky
176,Namibe,AO,-15.1961,12.1522,74.32,68,0,8.01,clear sky
177,Morgan City,US,29.6994,-91.2068,59.0,33,1,17.27,clear sky
178,George Town,MY,5.4112,100.3354,78.01,88,20,8.05,few clouds
179,Half Moon Bay,US,37.4636,-122.4286,66.99,67,1,9.22,clear sky
180,Beringovskiy,RU,63.05,179.3167,-11.69,89,37,9.73,scattered clouds
181,Aden,YE,12.7794,45.0367,75.38,69,0,9.91,clear sky
182,Mandalgovi,MN,45.7625,106.2708,-10.14,82,0,10.85,clear sky
183,San Quintin,MX,30.4833,-115.95,76.26,22,0,8.77,clear sky
184,Puerto Carreno,CO,6.189,-67.4859,86.92,57,37,11.01,scattered clouds
185,Shaoxing,CN,30.011,120.5715,42.8,70,90,13.42,overcast clouds
186,Itoman,JP,26.1247,127.6694,64.4,88,40,6.91,scattered clouds
187,Sao Felix Do Xingu,BR,-6.6447,-51.995,75.45,93,100,0.98,overcast clouds
188,Gryfino,PL,53.2524,14.4883,26.01,68,46,1.99,scattered clouds
189,Dauphin,CA,51.1494,-100.0502,21.2,95,1,3.44,clear sky
190,Grajewo,PL,53.6473,22.4554,7.68,95,68,7.02,broken clouds
191,Ilo,PE,-17.6394,-71.3375,70.5,73,100,6.2,overcast clouds
192,Verkhnyaya Inta,RU,65.9811,60.3094,-6.77,85,100,2.91,overcast clouds
193,San Patricio,US,28.017,-97.5169,66.2,15,20,12.66,few clouds
194,Fort Nelson,CA,58.8053,-122.7002,17.6,86,75,1.1,broken clouds
195,Benguela,AO,-12.5763,13.4055,75.02,74,0,4.83,clear sky
196,Port Macquarie,AU,-31.4333,152.9167,71.01,54,0,1.01,clear sky
197,Sisimiut,GL,66.9395,-53.6735,10.36,87,54,5.95,broken clouds
198,Sorland,NO,67.667,12.6934,33.8,86,75,6.91,broken clouds
199,Kodiak,US,57.79,-152.4072,33.8,80,75,4.21,broken clouds
200,Labuhan,ID,-6.8844,112.2051,77.67,85,100,6.76,overcast clouds
201,Nikolskoye,RU,59.7035,30.7861,6.8,85,75,4.47,light snow
202,Loandjili,CG,-4.7561,11.8578,80.6,89,20,5.75,few clouds
203,Severo-Kurilsk,RU,50.6789,156.125,27.37,93,100,13.89,overcast clouds
204,Guerrero Negro,MX,27.9769,-114.0611,81.21,16,0,8.75,clear sky
205,Saskylakh,RU,71.9167,114.0833,-21.32,85,100,13.38,overcast clouds
206,Lensk,RU,60.7253,114.9278,-36.69,78,89,3.27,overcast clouds
207,Hobyo,SO,5.3505,48.5268,76.37,81,32,15.68,scattered clouds
208,Yellowknife,CA,62.456,-114.3525,10.4,92,90,16.11,snow
209,Roald,NO,62.5833,6.1333,26.6,80,0,8.05,clear sky
210,Alice Springs,AU,-23.7,133.8833,77.0,27,1,12.66,clear sky
211,Palmas,BR,-10.2128,-48.3603,84.2,70,40,5.75,moderate rain
212,Iqaluit,CA,63.7506,-68.5145,12.2,79,90,18.41,snow
213,Birjand,IR,32.8663,59.2211,32.0,18,0,4.61,clear sky
214,Vila Franca Do Campo,PT,37.7167,-25.4333,61.0,88,75,17.27,light rain
