City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
183,Hobyo,SO,2021-01-11 21:39:47,5.3505,48.5268,74.97,74,4,21.32
184,Bam,IR,2021-01-11 21:39:48,29.106,58.357,40.28,43,0,1.36
185,Nanortalik,GL,2021-01-11 21:39:48,60.1432,-45.2371,30.7,93,100,5.66
186,Sorada,IN,2021-01-11 21:39:49,19.75,84.4333,67.48,58,95,2.48
187,Upernavik,GL,2021-01-11 21:39:49,72.7868,-56.1549,25.07,93,86,32.35
188,Elliot Lake,CA,2021-01-11 21:39:49,46.3834,-82.6331,28.4,86,90,16.11
189,Cidreira,BR,2021-01-11 21:39:49,-30.1811,-50.2056,78.35,84,73,25.95
190,Ketchikan,US,2021-01-11 21:39:50,55.3422,-131.6461,44.6,87,90,12.66
191,Freeport,US,2021-01-11 21:39:50,40.6576,-73.5832,37.4,60,75,4.61
192,Clyde River,CA,2021-01-11 21:39:50,70.4692,-68.5914,3.2,92,90,18.41
193,Port Augusta,AU,2021-01-11 21:39:50,-32.5,137.7667,66.2,68,90,11.5
194,Rio Gallegos,AR,2021-01-11 21:39:51,-51.6226,-69.2181,51.8,50,90,14.97
195,Empalme,MX,2021-01-11 21:39:51,27.9667,-110.8167,77.0,33,20,20.71
196,Imperatriz,BR,2021-01-11 21:39:51,-5.5264,-47.4917,82.4,78,40,9.22
197,Tazovskiy,RU,2021-01-11 21:39:51,67.4667,78.7,0.93,93,100,14.07
198,Lazaro Cardenas,MX,2021-01-11 21:39:52,17.9583,-102.2,81.43,57,0,8.08
199,Olafsvik,IS,2021-01-11 21:39:52,64.8945,-23.7142,30.2,90,0,6.06
200,Pilar,BR,2021-01-11 21:35:45,-9.5972,-35.9567,80.6,74,0,8.05
201,Bhadrachalam,IN,2021-01-11 21:39:52,17.6667,80.8833,66.51,71,51,1.01
202,Faanui,PF,2021-01-11 21:39:53,-16.4833,-151.75,81.66,75,95,21.72
203,Mount Isa,AU,2021-01-11 21:39:53,-20.7333,139.5,80.6,65,2,12.84
204,Korla,CN,2021-01-11 21:39:53,41.7597,86.1469,12.42,84,0,7.25
205,Mabopane,ZA,2021-01-11 21:35:11,-25.4977,28.1007,73.4,64,89,4.61
206,Les Cayes,HT,2021-01-11 21:39:54,18.2,-73.75,78.85,76,100,4.54
207,Sabang,ID,2021-01-11 21:39:54,5.8933,95.3214,81.03,80,40,20.96
208,Dikson,RU,2021-01-11 21:39:54,73.5069,80.5464,5.02,95,100,4.05
209,Bahia Honda,CU,2021-01-11 21:39:55,22.9036,-83.1592,73.51,76,100,3.69
210,Bhera,PK,2021-01-11 21:39:55,32.4832,72.9097,49.69,39,0,4.14
211,Lebu,CL,2021-01-11 21:39:55,-37.6167,-73.65,56.91,60,0,18.99
212,Sao Sebastiao,BR,2021-01-11 21:35:39,-23.76,-45.4097,78.21,87,75,6.58
213,Yunyang,CN,2021-01-11 21:39:56,33.4474,112.7142,30.72,72,0,4.52
214,Gat,IL,2021-01-11 21:39:56,31.61,34.7642,66.0,50,89,1.99
215,Urumqi,CN,2021-01-11 21:38:07,43.801,87.6005,-5.8,92,71,2.24
216,Huarmey,PE,2021-01-11 21:39:56,-10.0681,-78.1522,73.72,73,16,10.25
217,Xuddur,SO,2021-01-11 21:39:57,4.1213,43.8894,72.86,45,0,16.8
218,Mae Sai,TH,2021-01-11 21:39:57,20.4335,99.8762,53.01,93,90,14.97
219,Luchegorsk,RU,2021-01-11 21:39:57,46.4764,134.2569,-6.48,87,99,1.97
220,Marsh Harbour,BS,2021-01-11 21:39:58,26.5412,-77.0636,73.49,59,48,7.2
